Rank,Address,Address_Nametag,Quantity,Percentage
"1","0xaaa2da255df9ee74c7075bcb6d81f97940908a5d","BendDAO: NftVault","331","3.3100%"
"2","0xe2a83b15fc300d8457eb9e176f98d92a8ff40a49","binance-nft-marketplace.eth","277","2.7700%"
"3","0xf395767ae0e947504651a33ac2899520c551955d","","203","2.0300%"
"4","0x7285e8f0186a0a41e73cef7603ad7b80a2d5a793","","196","1.9600%"
"5","0x29469395eaf6f95920e59f858042f0e28d98a20b","Blur: Blend","176","1.7600%"
"6","0x00000000b3daca9d0452fd19b121e6484def1140","","110","1.1000%"
"7","0x440bcc7a1cf465eafabae301d1d7739cbfe09dda","","107","1.0700%"
"8","0x98e711f31e49c2e50c1a290b6f2b1e493e43ea76","","106","1.0600%"
"9","0x08c1ae7e46d4a13b766566033b5c47c735e19f6f","","91","0.9100%"
"10","0xe3199072644455d19f58b1fd8106ac80b3d2e780","","76","0.7600%"
"11","0xdbfd76af2157dc15ee4e57f3f942bb45ba84af24","","65","0.6500%"
"12","0x020ca66c30bec2c4fe3861a94e4db4a498a35872","machibigbrother.eth","53","0.5300%"
"13","0x76c1cfe708ed1d2ff2073490727f3301117767e9","","50","0.5000%"
"14","0x7eb413211a9de1cd2fe8b8bb6055636c43f7d206","n0b0dy.eth","49","0.4900%"
"15","0x68a24ab6dc7e2f8dedd2993eb178a68e0b7473d4","yugalabs.liquidity.flooringlab.eth","48","0.4800%"
"16","0x66664cbab1d5cf6b0c85dbcc71829812e27f7f4c","","48","0.4800%"
"17","0xf02e86d9e0efd57ad034faf52201b79917fe0713","","32","0.3200%"
"18","0x720a4fab08cb746fc90e88d1924a98104c0822cf","","31","0.3100%"
"19","0xa87709fa414310af99b178ce5ae71c4870024b75","","31","0.3100%"
"20","0x7a9fe22691c811ea339d9b73150e6911a5343dca","","30","0.3000%"
"21","0xd66f8eaf84b11654a19126a98a3f55b960846dd8","","28","0.2800%"
"22","0xf22742f06e4f6d68a8d0b49b9f270bb56affab38","","28","0.2800%"
"23","0x1cfb8a2e4c2e849593882213b2468e369271dad2","","27","0.2700%"
"24","0xaf184b4cbc73a9ca2f51c4a4d80ed67a2578e9f4","","26","0.2600%"
"25","0xe67112647b7aea8b7490f27e1c75208868138df2","","25","0.2500%"
"26","0xbb05f71952b30786d0ac7c7a8fa045724b8d2d69","","25","0.2500%"
"27","0xca1257ade6f4fa6c6834fdc42e030be6c0f5a813","","25","0.2500%"
"28","0x75458d98b55680c2ef535c7c526ff5a25b963188","","22","0.2200%"
"29","0x0ba40aa51b2acde113c173337c7c6fb3cc8410a5","","22","0.2200%"
"30","0xda05f6e8ecdac56b7a208eaf000fabeb4b001949","","20","0.2000%"
"31","0x122b19a4be93d7c2b4522ebf7eb3f1b5b0343b2f","panthro.eth","20","0.2000%"
"32","0x6c8ee01f1f8b62e987b3d18f6f28b22a0ada755f","keungz.eth","20","0.2000%"
"33","0x66666f58de1bcd762a5e5c5aff9cc3c906d66666","","19","0.1900%"
"34","0x4b1e684d5143eb7435e5d78385fa8cbdccd8f7ec","stitevoli.eth","19","0.1900%"
"35","0x840de9986997435983f3d827df933638f1ed23d7","rh0729.eth","18","0.1800%"
"36","0x8f3c6aab1f3b29f61bf860cb766ce0f6f2477935","ecell.eth","18","0.1800%"
"37","0xe0deacd9aa484e0cb3a370da4276570c29a7ba04","chosenxh.eth","17","0.1700%"
"38","0xc67db0df922238979da0fd00d46016e8ae14cecb","","16","0.1600%"
"39","0x424929525a9f36897cdd3235023c13a2ea7d7218","","16","0.1600%"
"40","0x605725f269e987ac59fead9cd39dc9158cf0de45","","16","0.1600%"
"41","0xf696ab3e4f9d52482b8350ffae67d21fda78e601","","15","0.1500%"
"42","0x5ed0f666e6c20f5eeb2214514b56df2adc47a0b2","ysiu.eth","15","0.1500%"
"43","0xc6021b536a50f8c3b5ed7e13a31a8bcf232c1688","","15","0.1500%"
"44","0xc883a79e8e4594c4f89434edb754a10da2311139","feld4014.eth","14","0.1400%"
"45","0xffbd08371fae1e00e28be21d7a274790ba2dbaf6","","14","0.1400%"
"46","0x7ad53bba1004e46dd456316912d55dbc5d311a03","","13","0.1300%"
"47","0x6b4df334368b09f87b3722449703060eef284126","","13","0.1300%"
"48","0x27677a95f17de170fd4cbac47712784fa3be4d02","","13","0.1300%"
"49","0x4f773f3fc89b73b34fb57ebc667a245d5e3812f6","","13","0.1300%"
"50","0x4af79ffcabb09083af6ccc3b2c20fe989519f6d7","","12","0.1200%"
